Organisation_Name;Service_Station_Location;Latitude;Longitude;Lat_decrypted;Long_decrypted
National Roads and Motorists Association Limited;9 Murray Rose,SYDNEY OLYMPIC PARK NSW 2127,AUSTRALIA;-3.384.589.758;1.510.697.681;-33,84589758;151,0697681
National Roads and Motorists Association Limited;76 Cowper St,WALLSEND NSW 2287,AUSTRALIA;-3.290.277.958;151.669.841;-32,90277958;151,669841
National Roads and Motorists Association Limited;Hunter Valley Gardens 2090 Broke Road,POKOLBIN NSW 2320,AUSTRALIA;-3.277.392.928;151.293.163;-32,77392928;151,293163
National Roads and Motorists Association Limited;Cnr Hume Highway & Bessemer Street,MITTAGONG NSW 2575,AUSTRALIA;-344.495.405;1.504.429.263;-34,4495405;150,4429263
National Roads and Motorists Association Limited;140 Queen St,BERRY NSW 2535,AUSTRALIA;-3.477.593.897;1.507.005.415;-34,77593897;150,7005415
National Roads and Motorists Association Limited;31 Twynam St,NARRANDERA NSW 2700,AUSTRALIA;-3.474.647.702;1.465.497.492;-34,74647702;146,5497492
National Roads and Motorists Association Limited;88 Lovell St,YOUNG NSW 2594,AUSTRALIA;-3.431.187.813;1.482.948.011;-34,31187813;148,2948011
National Roads and Motorists Association Limited;13-17 Shire St,WEST WYALONG NSW 2671,AUSTRALIA;-3.392.342.503;1.472.030.598;-33,92342503;147,2030598
National Roads and Motorists Association Limited;1 Kendall Avenue,BATHURST NSW 2795,AUSTRALIA;-3.341.861.309;1.495.866.089;-33,41861309;149,5866089
National Roads and Motorists Association Limited;27-29 Dalton Street,PARKES NSW 2870,AUSTRALIA;-3.313.737.585;1.481.726.385;-33,13737585;148,1726385
National Roads and Motorists Association Limited;76 Wingewarra Street,DUBBO NSW 2830,AUSTRALIA;-3.224.969.442;1.486.099.153;-32,24969442;148,6099153
National Roads and Motorists Association Limited;37 Nabiac St,NABIAC NSW 2312,AUSTRALIA;-3.209.970.764;1.523.814.491;-32,09970764;152,3814491
National Roads and Motorists Association Limited;2 Kable Avenue,TAMWORTH NSW 2340,AUSTRALIA;-3.109.046.673;1.509.273.942;-31,09046673;150,9273942
National Roads and Motorists Association Limited;2a Beach Road,BATEMANS BAY NSW 2536,AUSTRALIA;-3.570.858.089;1.501.756.837;-35,70858089;150,1756837
National Roads and Motorists Association Limited;Via Lords Pl (charger behind Orange Civic Theatre),ORANGE NSW 2800,AUSTRALIA;-3.328.433.645;149.101.057;-33,28433645;149,101057
National Roads and Motorists Association Limited;132 Pound Street,GRAFTON NSW 2460,AUSTRALIA;-2.968.836.648;1.529.338.323;-29,68836648;152,9338323
National Roads and Motorists Association Limited;Town Hall Car Park,GLEN INNES NSW 2370,AUSTRALIA;-2.973.857.928;1.517.363.904;-29,73857928;151,7363904
National Roads and Motorists Association Limited;11 Ewingsdale Road,EWINGSDALE NSW 2481,AUSTRALIA;-2.863.545.725;1.535.560.183;-28,63545725;153,5560183
National Roads and Motorists Association Limited;81 Gipps Street,BEGA NSW 2550,AUSTRALIA;-3.667.336.146;1.498.431.557;-36,67336146;149,8431557
National Roads and Motorists Association Limited;Riverside Drive,JUGIONG NSW 2726,AUSTRALIA;-3.482.298.325;1.483.338.306;-34,82298325;148,3338306
National Roads and Motorists Association Limited;3-7 Tank Street,LITHGOW NSW 2790,AUSTRALIA;-3.347.772.722;1.501.609.403;-33,47772722;150,1609403
National Roads and Motorists Association Limited;Prospect St,HOLBROOK NSW 2644,AUSTRALIA;-3.571.674.293;1.473.171.672;-35,71674293;147,3171672
National Roads and Motorists Association Limited;73 Little Barber Street,GUNNEDAH NSW 2380,AUSTRALIA;-309.781.504;1.502.509.306;-30,9781504;150,2509306
National Roads and Motorists Association Limited;406 Moppett St,HAY NSW 2711,AUSTRALIA;-3.450.896.936;1.448.428.368;-34,50896936;144,8428368
National Roads and Motorists Association Limited;John Oxley Drive,THRUMSTER NSW 2444,AUSTRALIA;-3.145.824.656;1.528.290.614;-31,45824656;152,8290614
National Roads and Motorists Association Limited;441 Kiewa Street,ALBURY NSW 2640,AUSTRALIA;-360.837.322;1.469.143.513;-36,0837322;146,9143513
National Roads and Motorists Association Limited;Visitor's Centre Newell Highway,Coonabarabran NSW 2357,AUSTRALIA;-3.127.837;14.927.955;-31,27837;149,27955
National Roads and Motorists Association Limited;77 Darling,Cowra NSW 2794,AUSTRALIA;-338.341.739;1.486.942.786;-33,8341739;148,6942786
National Roads and Motorists Association Limited;5 Walton Ln,PICTON NSW 2571,AUSTRALIA;-341.680.675;1.506.111.657;-34,1680675;150,6111657
National Roads and Motorists Association Limited;89 Market St, Balranald NSW 2715;-3.463.962.676;1.435.646.291;-34,63962676;143,5646291
National Roads and Motorists Association Limited;81 MEEHAN ST,YASS NSW 2582,AUSTRALIA;-3.484.111.757;1.489.121.914;-34,84111757;148,9121914
National Roads and Motorists Association Limited;8-24,Wagga Wagga NSW 2650,AUSTRALIA;-3.511.242.691;1.475.387.137;-35,11242691;147,5387137
National Roads and Motorists Association Limited;167C Kelly St,Scone NSW 2337,AUSTRALIA;-3.205.026.446;1.508.669.152;-32,05026446;150,8669152
National Roads and Motorists Association Limited;99 Mortimer St,MUDGEE NSW 2850,AUSTRALIA;-3.259.295.024;149.585.035;-32,59295024;149,585035
National Roads and Motorists Association Limited;Visitor Information Centre 157 Rouse St,TENTERFIELD NSW 2372,AUSTRALIA;-290.572.088;1.520.187.674;-29,0572088;152,0187674
National Roads and Motorists Association Limited;Visitor's Information Centre 82 Marsh St,Armidale NSW 2350,AUSTRALIA;-3.051.129.377;1.516.684.939;-30,51129377;151,6684939
National Roads and Motorists Association Limited;Corner of Kalkite Street and Snowy River Avenue,JINDABYNE NSW 2627,AUSTRALIA;-3.641.597.995;1.486.195.201;-36,41597995;148,6195201
National Roads and Motorists Association Limited;Powell St, Jerilderie NSW 2716, AUSTRALIA;-35.354.835;145.725.109;-35,354835;145,725109
National Roads and Motorists Association Limited;Skillmans Lane, Coonamble NSW 2829, AUSTRALIA;-3.095.275.221;1.483.878.911;-30,95275221;148,3878911
National Roads and Motorists Association Limited;Neilly St, Walgett NSW 2832, AUSTRALIA;-30.020.733;148.117.789;-30,020733;148,117789
